"dataset","symbol","name","storedSector","storedSectorKo","liveSector"
"KR","082270.KQ","젬백스","Information Technology","기술","Technology"
"KR","052400.KQ","코나아이","Information Technology","기술","Technology"
"KR","171090.KQ","선익시스템","Information Technology","기술","Technology"
"KR","006730.KQ","서부T&D","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","060250.KQ","NHN KCP","Information Technology","기술","Technology"
"KR","042000.KQ","카페24","Information Technology","기술","Technology"
"KR","214430.KQ","아이쓰리시스템","Information Technology","기술","Technology"
"KR","399720.KQ","가온칩스","Information Technology","기술","Technology"
"KR","038500.KQ","삼표시멘트","Materials","소재","Basic Materials"
"KR","211050.KQ","인카금융서비스","Financials","금융","Financial Services"
"KR","100790.KQ","미래에셋벤처투자","Financials","금융","Financial Services"
"KR","348210.KQ","넥스틴","Information Technology","기술","Technology"
"KR","060280.KQ","큐렉소","Health Care","헬스케어","Healthcare"
"KR","032190.KQ","다우데이타","Information Technology","기술","Technology"
"KR","272290.KQ","이녹스첨단소재","Information Technology","기술","Technology"
"KR","278280.KQ","천보","Materials","소재","Basic Materials"
"KR","036620.KQ","감성코퍼레이션","Information Technology","기술","Technology"
"KR","215200.KQ","메가스터디교육","Consumer Staples","필수소비재","Consumer Defensive"
"KR","376300.KQ","디어유","Information Technology","기술","Technology"
"KR","253590.KQ","네오셈","Information Technology","기술","Technology"
"KR","036830.KQ","솔브레인홀딩스","Materials","소재","Basic Materials"
"KR","025900.KQ","동화기업","Materials","소재","Basic Materials"
"KR","352480.KQ","씨앤씨인터내셔널","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","ABBV","AbbVie","Health Care","헬스케어","Healthcare"
"SP500","ADBE","Adobe Inc.","Information Technology","기술","Technology"
"SP500","AMD","AMD","Information Technology","기술","Technology"
"SP500","A","Agilent Technologies","Health Care","헬스케어","Healthcare"
"SP500","ABNB","Airbnb","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","ALB","Albemarle Corporation","Materials","소재","Basic Materials"
"SP500","ALL","Allstate","Financials","금융","Financial Services"
"SP500","AMZN","Amazon (company)","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","AMCR","Amcor","Materials","소재","Consumer Cyclical"
"SP500","AIG","American International Group","Financials","금융","Financial Services"
"SP500","APH","Amphenol","Information Technology","기술","Technology"
"SP500","ADI","Analog Devices","Information Technology","기술","Technology"
"SP500","APO","Apollo Global Management","Financials","금융","Financial Services"
"SP500","AAPL","Apple Inc.","Information Technology","기술","Technology"
"SP500","AMAT","Applied Materials","Information Technology","기술","Technology"
"SP500","APTV","Aptiv","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","ADM","Archer Daniels Midland","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","ADSK","Autodesk","Information Technology","기술","Technology"
"SP500","ADP","ADP (company)","Industrials","산업재","Technology"
"SP500","AVY","Avery Dennison","Materials","소재","Consumer Cyclical"
"SP500","BALL","Ball Corporation","Materials","소재","Consumer Cyclical"
"SP500","BAX","Baxter International","Health Care","헬스케어","Healthcare"
"SP500","BDX","BD (company)","Health Care","헬스케어","Healthcare"
"SP500","BBY","Best Buy","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","BIIB","Biogen","Health Care","헬스케어","Healthcare"
"SP500","BLK","BlackRock","Financials","금융","Financial Services"
"SP500","BX","Blackstone Inc.","Financials","금융","Financial Services"
"SP500","BKNG","Booking Holdings","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","BMY","Bristol Myers Squibb","Health Care","헬스케어","Healthcare"
"SP500","BRO","Brown & Brown","Financials","금융","Financial Services"
"SP500","BG","Bunge Global","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","CDNS","Cadence Design Systems","Information Technology","기술","Technology"
"SP500","COF","Capital One","Financials","금융","Financial Services"
"SP500","CAH","Cardinal Health","Health Care","헬스케어","Healthcare"
"SP500","CCL","Carnival Corporation","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","CASY","Casey's","Consumer Staples","필수소비재","Consumer Cyclical"
"SP500","CDW","CDW","Information Technology","기술","Technology"
"SP500","COR","Cencora","Health Care","헬스케어","Healthcare"
"SP500","CNC","Centene Corporation","Health Care","헬스케어","Healthcare"
"SP500","CF","CF Industries","Materials","소재","Basic Materials"
"SP500","CRL","Charles River Laboratories","Health Care","헬스케어","Healthcare"
"SP500","SCHW","Charles Schwab Corporation","Financials","금융","Financial Services"
"SP500","CB","Chubb Limited","Financials","금융","Financial Services"
"SP500","CIEN","Ciena","Information Technology","기술","Technology"
"SP500","CI","Cigna","Health Care","헬스케어","Healthcare"
"SP500","CSCO","Cisco","Information Technology","기술","Technology"
"SP500","CLX","Clorox","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","CME","CME Group","Financials","금융","Financial Services"
"SP500","CTSH","Cognizant","Information Technology","기술","Technology"
"SP500","COHR","Coherent Corp.","Information Technology","기술","Technology"
"SP500","COIN","Coinbase","Financials","금융","Financial Services"
"SP500","CL","Colgate-Palmolive","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","STZ","Constellation Brands","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","GLW","Corning Inc.","Information Technology","기술","Technology"
"SP500","CPAY","Corpay","Financials","금융","Technology"
"SP500","CTVA","Corteva","Materials","소재","Basic Materials"
"SP500","COST","Costco","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","CRH","CRH plc","Materials","소재","Basic Materials"
"SP500","CRWD","CrowdStrike","Information Technology","기술","Technology"
"SP500","CVS","CVS Health","Health Care","헬스케어","Healthcare"
"SP500","DRI","Darden Restaurants","Consumer Discretionary","경기소비재","Consumer Cyclical"
